Rank,sel_count
1.000000000000000000e+00,2.024000000000000000e+03
2.000000000000000000e+00,1.495000000000000000e+03
3.000000000000000000e+00,1.421000000000000000e+03
4.000000000000000000e+00,1.394000000000000000e+03
5.000000000000000000e+00,1.350000000000000000e+03
6.000000000000000000e+00,1.344000000000000000e+03
7.000000000000000000e+00,1.297000000000000000e+03
8.000000000000000000e+00,1.297000000000000000e+03
9.000000000000000000e+00,1.255000000000000000e+03
1.000000000000000000e+01,1.240000000000000000e+03
1.100000000000000000e+01,1.224000000000000000e+03
1.200000000000000000e+01,1.187000000000000000e+03
1.300000000000000000e+01,1.174000000000000000e+03
1.400000000000000000e+01,1.167000000000000000e+03
1.500000000000000000e+01,1.158000000000000000e+03
1.600000000000000000e+01,1.154000000000000000e+03
1.700000000000000000e+01,1.143000000000000000e+03
1.800000000000000000e+01,1.135000000000000000e+03
1.900000000000000000e+01,1.131000000000000000e+03
2.000000000000000000e+01,1.108000000000000000e+03
2.100000000000000000e+01,1.101000000000000000e+03
2.200000000000000000e+01,1.091000000000000000e+03
2.300000000000000000e+01,1.091000000000000000e+03
2.400000000000000000e+01,1.087000000000000000e+03
2.500000000000000000e+01,1.081000000000000000e+03
2.600000000000000000e+01,1.079000000000000000e+03
2.700000000000000000e+01,1.077000000000000000e+03
2.800000000000000000e+01,1.076000000000000000e+03
2.900000000000000000e+01,1.075000000000000000e+03
3.000000000000000000e+01,1.073000000000000000e+03
3.100000000000000000e+01,1.073000000000000000e+03
3.200000000000000000e+01,1.062000000000000000e+03
3.300000000000000000e+01,1.060000000000000000e+03
3.400000000000000000e+01,1.059000000000000000e+03
3.500000000000000000e+01,1.059000000000000000e+03
3.600000000000000000e+01,1.056000000000000000e+03
3.700000000000000000e+01,1.049000000000000000e+03
3.800000000000000000e+01,1.040000000000000000e+03
3.900000000000000000e+01,1.036000000000000000e+03
4.000000000000000000e+01,1.036000000000000000e+03
4.100000000000000000e+01,1.033000000000000000e+03
4.200000000000000000e+01,1.027000000000000000e+03
4.300000000000000000e+01,1.018000000000000000e+03
4.400000000000000000e+01,1.013000000000000000e+03
4.500000000000000000e+01,1.001000000000000000e+03
4.600000000000000000e+01,9.980000000000000000e+02
4.700000000000000000e+01,9.910000000000000000e+02
4.800000000000000000e+01,9.900000000000000000e+02
4.900000000000000000e+01,9.830000000000000000e+02
5.000000000000000000e+01,9.780000000000000000e+02
5.100000000000000000e+01,9.780000000000000000e+02
5.200000000000000000e+01,9.720000000000000000e+02
5.300000000000000000e+01,9.680000000000000000e+02
5.400000000000000000e+01,9.670000000000000000e+02
5.500000000000000000e+01,9.660000000000000000e+02
5.600000000000000000e+01,9.610000000000000000e+02
5.700000000000000000e+01,9.590000000000000000e+02
5.800000000000000000e+01,9.440000000000000000e+02
5.900000000000000000e+01,9.440000000000000000e+02
6.000000000000000000e+01,9.410000000000000000e+02
6.100000000000000000e+01,9.400000000000000000e+02
6.200000000000000000e+01,9.350000000000000000e+02
6.300000000000000000e+01,9.350000000000000000e+02
6.400000000000000000e+01,9.220000000000000000e+02
6.500000000000000000e+01,9.090000000000000000e+02
6.600000000000000000e+01,9.060000000000000000e+02
6.700000000000000000e+01,9.020000000000000000e+02
6.800000000000000000e+01,8.890000000000000000e+02
6.900000000000000000e+01,8.870000000000000000e+02
7.000000000000000000e+01,8.810000000000000000e+02
7.100000000000000000e+01,8.770000000000000000e+02
7.200000000000000000e+01,8.730000000000000000e+02
7.300000000000000000e+01,8.650000000000000000e+02
7.400000000000000000e+01,8.640000000000000000e+02
7.500000000000000000e+01,8.460000000000000000e+02
7.600000000000000000e+01,8.420000000000000000e+02
7.700000000000000000e+01,8.380000000000000000e+02
7.800000000000000000e+01,8.370000000000000000e+02
7.900000000000000000e+01,8.360000000000000000e+02
8.000000000000000000e+01,8.300000000000000000e+02
8.100000000000000000e+01,8.290000000000000000e+02
8.200000000000000000e+01,8.290000000000000000e+02
8.300000000000000000e+01,8.260000000000000000e+02
8.400000000000000000e+01,8.260000000000000000e+02
8.500000000000000000e+01,8.160000000000000000e+02
8.600000000000000000e+01,8.140000000000000000e+02
8.700000000000000000e+01,8.080000000000000000e+02
8.800000000000000000e+01,7.980000000000000000e+02
8.900000000000000000e+01,7.880000000000000000e+02
9.000000000000000000e+01,7.880000000000000000e+02
9.100000000000000000e+01,7.850000000000000000e+02
9.200000000000000000e+01,7.770000000000000000e+02
9.300000000000000000e+01,7.760000000000000000e+02
9.400000000000000000e+01,7.640000000000000000e+02
9.500000000000000000e+01,7.630000000000000000e+02
9.600000000000000000e+01,7.610000000000000000e+02
9.700000000000000000e+01,7.550000000000000000e+02
9.800000000000000000e+01,7.480000000000000000e+02
9.900000000000000000e+01,7.290000000000000000e+02
1.000000000000000000e+02,7.150000000000000000e+02
